i,Max,Total,Free,Used (total-free),Object
593,104857600,104857600,52262784,52594816,40016
594,104857600,104857600,52014528,52843072,248256
595,104857600,104857600,51974512,52883088,40016
596,104857600,104857600,51934496,52923104,40016
597,104857600,104857600,51607000,53250600,327496
598,104857600,104857600,51566984,53290616,40016
599,104857600,104857600,51239488,53618112,327496
600,104857600,104857600,51199472,53658128,40016
601,104857600,104857600,50965952,53891648,233520
602,104857600,104857600,51219888,53637712,-253936
603,104857600,104857600,50891752,53965848,328136
604,104857600,104857600,50523624,54333976,368128
605,104857600,104857600,50483608,54373992,40016
606,104857600,104857600,50211328,54646272,272280
607,104857600,104857600,50171312,54686288,40016
608,104857600,104857600,50131296,54726304,40016
609,104857600,104857600,50091280,54766320,40016
610,104857600,104857600,50051264,54806336,40016
611,104857600,104857600,50011248,54846352,40016
612,104857600,104857600,49971232,54886368,40016
613,104857600,104857600,49931216,54926384,40016
614,104857600,104857600,49891200,54966400,40016
615,104857600,104857600,49851184,55006416,40016
616,104857600,104857600,49811168,55046432,40016
617,104857600,104857600,49771152,55086448,40016
618,104857600,104857600,49731136,55126464,40016
619,104857600,104857600,49691120,55166480,40016
620,104857600,104857600,49651104,55206496,40016
621,104857600,104857600,49611088,55246512,40016
622,104857600,104857600,49571072,55286528,40016
623,104857600,104857600,49531056,55326544,40016
624,104857600,104857600,49491040,55366560,40016
625,104857600,104857600,49451024,55406576,40016
626,104857600,104857600,49162752,55694848,288272
627,104857600,104857600,49122736,55734864,40016
628,104857600,104857600,48754608,56102992,368128
629,104857600,104857600,48714592,56143008,40016
630,104857600,104857600,48346464,56511136,368128
631,104857600,104857600,48306448,56551152,40016
632,104857600,104857600,48114176,56743424,192272
633,104857600,104857600,48074160,56783440,40016
634,104857600,104857600,48034144,56823456,40016
635,104857600,104857600,47994128,56863472,40016
636,104857600,104857600,47954112,56903488,40016
637,104857600,104857600,47914096,56943504,40016
638,104857600,104857600,47874080,56983520,40016
639,104857600,104857600,47834064,57023536,40016
640,104857600,104857600,47794048,57063552,40016
641,104857600,104857600,47754032,57103568,40016
642,104857600,104857600,47714016,57143584,40016
643,104857600,104857600,47674000,57183600,40016
644,104857600,104857600,47633984,57223616,40016
645,104857600,104857600,47593968,57263632,40016
646,104857600,104857600,47553952,57303648,40016
647,104857600,104857600,47513936,57343664,40016
648,104857600,104857600,47473920,57383680,40016
649,104857600,104857600,47433904,57423696,40016
650,104857600,104857600,47393888,57463712,40016
651,104857600,104857600,47353872,57503728,40016
652,104857600,104857600,47065600,57792000,288272
653,104857600,104857600,47025584,57832016,40016
654,104857600,104857600,46657456,58200144,368128
655,104857600,104857600,46617440,58240160,40016
656,104857600,104857600,46249312,58608288,368128
657,104857600,104857600,46209296,58648304,40016
658,104857600,104857600,46017024,58840576,192272
659,104857600,104857600,45977008,58880592,40016
660,104857600,104857600,45936992,58920608,40016
661,104857600,104857600,45896976,58960624,40016
662,104857600,104857600,45856960,59000640,40016
663,104857600,104857600,45816944,59040656,40016
